epoch_id,timestamp,break_v,break_E_eV,n_points,PA_bins,status,features,cone_half_width_deg,input_file,break_index,error_message
107,2022-03-02 13:52:09,441045937.4920557,55.30263783935223,5244,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4261.0,
108,2022-03-02 13:53:09,441342487.5052506,55.37703150265694,5264,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4172.0,
109,2022-03-02 13:54:09,440624413.6472298,55.19697881938201,5466,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4374.0,
110,2022-03-02 13:55:09,434285855.3433663,53.62034006287039,5392,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4219.0,
111,2022-03-02 13:56:09,440975060.1619738,55.28486468680888,5424,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4348.0,
112,2022-03-02 13:57:09,438237859.90122706,54.600671368258595,5460,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4313.0,
113,2022-03-02 13:58:09,439087172.67526245,54.812510589864814,5251,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4210.0,
114,2022-03-02 13:59:09,408794475.1871507,47.510350034103844,5402,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4010.0,
115,2022-03-02 14:00:09,442563389.93754435,55.68383843993184,5460,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4348.0,
116,2022-03-02 14:01:09,410119736.26108056,47.81889470123121,5593,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4112.0,
117,2022-03-02 14:02:09,442266816.34844744,55.60923298073683,5409,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4290.0,
118,2022-03-02 14:03:09,442841940.2200092,55.753955537401445,5566,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4391.0,
119,2022-03-02 14:04:09,442539515.86307305,55.67783087455813,5635,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4444.0,
120,2022-03-02 14:05:09,441844037.68528354,55.50296608891554,5652,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4462.0,
121,2022-03-02 14:06:09,442579162.15855664,55.68780746889574,5673,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4474.0,
122,2022-03-02 14:07:09,442187942.4545781,55.589400040674484,5526,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4362.0,
123,2022-03-02 14:08:09,438928635.79337156,54.77293650851091,5488,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4343.0,
124,2022-03-02 14:09:09,441820437.3561427,55.49703705887973,5273,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4200.0,
125,2022-03-02 14:10:09,442456973.6089713,55.65706280798586,5468,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4392.0,
126,2022-03-02 14:11:09,436764373.54154766,54.23412115536003,5402,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4269.0,
127,2022-03-02 14:12:09,440307567.88487524,55.11762488305074,5414,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4269.0,
128,2022-03-02 14:13:09,442704677.3152106,55.719397998264974,5424,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4353.0,
129,2022-03-02 14:14:09,441918526.4044323,55.52168171251392,5618,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4425.0,
130,2022-03-02 14:15:09,441674987.0523165,55.46050306664889,5441,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4312.0,
131,2022-03-02 14:16:09,442420368.9548947,55.64785412384771,5466,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4330.0,
132,2022-03-02 14:17:09,409565633.13004297,47.68976802202275,5344,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3993.0,
133,2022-03-02 14:18:09,442092722.77846193,55.565461645949945,5423,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4274.0,
134,2022-03-02 14:19:09,442474781.4103913,55.66154301702986,5427,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4318.0,
135,2022-03-02 14:20:09,442284746.71631074,55.61374208781499,5381,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4256.0,
136,2022-03-02 14:21:09,440908731.1811233,55.26823466267144,5472,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4272.0,
137,2022-03-02 14:22:09,441823719.0856438,55.49786149760974,5511,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4317.0,
138,2022-03-02 14:23:09,436804688.9374723,54.2441337438868,5477,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4254.0,
139,2022-03-02 14:24:09,441394058.3643962,55.38997386839269,5570,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4404.0,
140,2022-03-02 14:25:09,440440496.91699475,55.15090997299539,5267,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4082.0,
141,2022-03-02 14:26:09,441398141.3993696,55.39099862276904,5289,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4206.0,
142,2022-03-02 14:27:09,441105394.0208215,55.31754932239427,5413,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4324.0,
143,2022-03-02 14:28:09,441658601.1340969,55.45638802986017,5322,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4288.0,
144,2022-03-02 14:29:09,440502164.7984573,55.16635486464067,5459,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4318.0,
145,2022-03-02 14:30:09,441316967.76993203,55.37062755846956,5422,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4308.0,
146,2022-03-02 14:31:09,432621817.6032447,53.210216979939034,5113,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3826.0,
147,2022-03-02 14:32:09,431743252.12497467,52.99431852360764,5402,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4138.0,
148,2022-03-02 14:33:09,440970895.6951775,55.28382049670837,5394,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4237.0,
149,2022-03-02 14:34:09,436412982.4938863,54.14689005472551,5049,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3962.0,
150,2022-03-02 14:35:09,440286137.29795045,55.11225965932248,5570,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4276.0,
151,2022-03-02 14:36:09,441472707.82598954,55.409714866985695,5444,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4274.0,
152,2022-03-02 14:37:09,440367317.2800105,55.13258473581572,5407,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4271.0,
153,2022-03-02 14:38:09,440311293.3998754,55.11855760563816,5345,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4169.0,
154,2022-03-02 14:39:09,441035961.78397477,55.300136164650205,5273,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4167.0,
155,2022-03-02 14:40:09,406578500.4300459,46.996662156735496,5181,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3879.0,
156,2022-03-02 14:41:09,437995356.57212573,54.540260425654644,5180,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4141.0,
157,2022-03-02 14:42:09,442380498.2028334,55.637824649732025,5366,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4286.0,
158,2022-03-02 14:43:09,442225709.384924,55.598896141556246,5288,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4274.0,
159,2022-03-02 14:44:09,442864302.9995367,55.759586643144715,5233,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4313.0,
160,2022-03-02 14:45:09,441488331.43858165,55.41363680925768,5357,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4323.0,
161,2022-03-02 14:46:09,442162384.026045,55.58297410042912,5254,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4178.0,
162,2022-03-02 14:47:09,442014847.3373954,55.54588745488074,5332,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4294.0,
163,2022-03-02 14:48:09,410084909.2793226,47.81077357505939,5417,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4086.0,
